support,itemsets
0.10091743119266056,"frozenset({'Action', 'NonSummerRelease', 'Adventure'})"
0.11009174311926606,"frozenset({'Action', 'Adventure', 'NotPopularTop25'})"
0.08256880733944955,"frozenset({'Action', 'Adventure', 'Science Fiction'})"
0.1651376146788991,"frozenset({'HighRating', 'Action', 'HighBudget'})"
0.2018348623853211,"frozenset({'HighRevenue', 'Action', 'HighBudget'})"
0.19724770642201836,"frozenset({'Action', 'LongRuntime', 'HighBudget'})"
0.1559633027522936,"frozenset({'Action', 'NonSummerRelease', 'HighBudget'})"
0.16055045871559634,"frozenset({'Action', 'NotPopularTop25', 'HighBudget'})"
0.11009174311926606,"frozenset({'Action', 'Science Fiction', 'HighBudget'})"
0.07339449541284404,"frozenset({'Action', 'Thriller', 'HighBudget'})"
0.1743119266055046,"frozenset({'HighRating', 'Action', 'HighRevenue'})"
0.16972477064220184,"frozenset({'HighRating', 'Action', 'LongRuntime'})"
0.1559633027522936,"frozenset({'HighRating', 'Action', 'NonSummerRelease'})"
0.16972477064220184,"frozenset({'HighRating', 'Action', 'NotPopularTop25'})"
0.08256880733944955,"frozenset({'HighRating', 'Action', 'Science Fiction'})"
0.20642201834862386,"frozenset({'HighRevenue', 'Action', 'LongRuntime'})"
0.1651376146788991,"frozenset({'HighRevenue', 'Action', 'NonSummerRelease'})"
0.1743119266055046,"frozenset({'HighRevenue', 'Action', 'NotPopularTop25'})"
0.11009174311926606,"frozenset({'HighRevenue', 'Action', 'Science Fiction'})"
0.0779816513761468,"frozenset({'HighRevenue', 'Action', 'Thriller'})"
0.0779816513761468,"frozenset({'Action', 'LowRating', 'LongRuntime'})"
0.1743119266055046,"frozenset({'Action', 'NonSummerRelease', 'LongRuntime'})"
0.17889908256880735,"frozenset({'Action', 'LongRuntime', 'NotPopularTop25'})"
0.10091743119266056,"frozenset({'Action', 'LongRuntime', 'Science Fiction'})"
0.07339449541284404,"frozenset({'SummerRelease', 'Action', 'LongRuntime'})"
0.08256880733944955,"frozenset({'Action', 'Thriller', 'LongRuntime'})"
0.13302752293577982,"frozenset({'LowBudget', 'Action', 'LowRating'})"
0.14678899082568808,"frozenset({'LowBudget', 'Action', 'LowRevenue'})"
0.13302752293577982,"frozenset({'LowBudget', 'Action', 'NonSummerRelease'})"
0.11009174311926606,"frozenset({'LowBudget', 'Action', 'NotPopularTop25'})"
0.12385321100917432,"frozenset({'LowBudget', 'Action', 'ShortRuntime'})"
0.08256880733944955,"frozenset({'LowBudget', 'Action', 'Thriller'})"
0.12844036697247707,"frozenset({'Action', 'LowRevenue', 'LowRating'})"
0.13302752293577982,"frozenset({'Action', 'NonSummerRelease', 'LowRating'})"
0.10091743119266056,"frozenset({'Action', 'LowRating', 'NotPopularTop25'})"
0.08256880733944955,"frozenset({'PopularTop25', 'Action', 'LowRating'})"
0.10550458715596331,"frozenset({'ShortRuntime', 'Action', 'LowRating'})"
0.0871559633027523,"frozenset({'Action', 'Thriller', 'LowRating'})"
0.12385321100917432,"frozenset({'NonSummerRelease', 'Action', 'LowRevenue'})"
0.0963302752293578,"frozenset({'Action', 'LowRevenue', 'NotPopularTop25'})"
0.11926605504587157,"frozenset({'Action', 'LowRevenue', 'ShortRuntime'})"
0.0779816513761468,"frozenset({'Thriller', 'Action', 'LowRevenue'})"
0.2018348623853211,"frozenset({'Action', 'NonSummerRelease', 'NotPopularTop25'})"
